ship_imo,company_imo,role,company_name,company_address,date_of_effect
8324256,5787636,Ship manager/Commercial manager,SONGYONG SHIPPING CO,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 16/12/2013
9035967,5787640,Ship manager/Commercial manager,KOREA JINHUNG 9 SHIPPING CO,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 16/07/2013
9035967,5787640,Registered owner,KOREA JINHUNG 9 SHIPPING CO,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 16/07/2013
9035967,5787640,ISM Manager,KOREA JINHUNG 9 SHIPPING CO,"Chilgol 1-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 16/07/2013
8850865,1888142,Ship manager/Commercial manager,KOREA KUMRUNG SHIPPING CO,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 03/11/2006
8850865,1888142,ISM Manager,KOREA KUMRUNG SHIPPING CO,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 01/11/1997
8850865,1888142,Registered owner,KOREA KUMRUNG SHIPPING CO,"Ryugyong 1-dong, Potonggang-guyok, Pyongyang, North Korea.",since 03/11/2006
9041552,5817786,Ship manager/Commercial manager,HOERYONG SHIPPING CO LTD,"108, Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",during 10/2014
9041552,5817786,Registered owner,HOERYONG SHIPPING CO LTD,"108, Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",during 10/2014
9041552,5817786,ISM Manager,HOERYONG SHIPPING CO LTD,"108, Pongnam-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 01/10/2014
9000766,9991001,ISM Manager,UNKNOWN,,since 01/12/2016
9000766,5954044,Registered owner,KOREA JASONG SHIPPING CO,"Ryukkyo 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 15/11/2016
9000766,5954044,Ship manager/Commercial manager,KOREA JASONG SHIPPING CO,"Ryukkyo 2-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 15/11/2016
8748713,5481528,Ship manager/Commercial manager,KOREA JINMYONG SHPG CO,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 26/01/2016
8748713,5481528,Registered owner,KOREA JINMYONG SHPG CO,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 26/01/2016
8748713,5481528,ISM Manager,KOREA JINMYONG SHPG CO,"Chungsong-dong, Chung-guyok, Pyongyang, North Korea.",since 26/01/2016
7408873,5954061,Ship manager/Commercial manager,KOREA SAMJONG SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 25/11/2016
7408873,5800748,Registered owner,CHINA DANDONG XIANGHE,"Care of Korea Samjong Shipping Co , Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",during 2014
7408873,5954061,ISM Manager,KOREA SAMJONG SHIPPING CO,"Tonghung-dong, Chung-guyok, Pyongyang, North Korea.",since 25/11/2016
8832136,5856409,Ship manager/Commercial manager,DONGYANG TRADING CO 1 DEPT,"Kwanmun 3-dong, Rakrang-guyok, Pyongyang, North Korea.",before 03/2015
8832136,5856409,Registered owner,DONGYANG TRADING CO 1 DEPT,"Kwanmun 3-dong, Rakrang-guyok, Pyongyang, North Korea.",before 03/2015
8832136,5856409,ISM Manager,DONGYANG TRADING CO 1 DEPT,"Kwanmun 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 01/03/2015
8915275,5076657,Ship manager/Commercial manager,KOREA JS SHIPPING CO,"Kyonghung-dong, Potonggang-guyok, Pyongyang, North Korea.",since 11/10/2016
8915275,5948479,Registered owner,KOREA NATURAL RESOURCE DEV INV,"Care of Korea JS Shipping Co , Kyonghung-dong, Potonggang-guyok, Pyongyang, North Korea.",since 11/10/2016
8915275,5076657,ISM Manager,KOREA JS SHIPPING CO,"Kyonghung-dong, Potonggang-guyok, Pyongyang, North Korea.",since 11/10/2016
